,county,candidate,vote_share,pro_gun_control,district
0,ANDERSON,David M. Alameel,0.20564845024469822,1,5
1,ANDREWS,David M. Alameel,0.08392267798208393,1,11
2,ANGELINA,David M. Alameel,0.20969227934402063,1,1
3,ARANSAS,David M. Alameel,0.20521402149022372,1,27
4,ARCHER,David M. Alameel,0.10268948655256724,1,13
5,ARMSTRONG,David M. Alameel,0.08133086876155268,1,13
6,ATASCOSA,David M. Alameel,0.3031569842871558,1,28
7,AUSTIN,David M. Alameel,0.14391090540931442,1,10
8,BAILEY,David M. Alameel,0.11880165289256199,1,19
9,BANDERA,David M. Alameel,0.15556307067974298,1,21
10,BASTROP,David M. Alameel,0.3575318767219837,1,10
11,BAYLOR,David M. Alameel,0.13459119496855346,1,13
12,BEE,David M. Alameel,0.3799916805324459,1,34
13,BELL,David M. Alameel,0.3127591630522854,1,31
14,BEXAR,David M. Alameel,0.4357939193343804,1,20
15,BLANCO,David M. Alameel,0.20741839762611275,1,21
16,BORDEN,David M. Alameel,0.04838709677419355,1,19
17,BOSQUE,David M. Alameel,0.15812149935372685,1,25
18,BOWIE,David M. Alameel,0.23433229207340883,1,4
19,BRAZORIA,David M. Alameel,0.28756932002388874,1,22
20,BRAZOS,David M. Alameel,0.251181953262191,1,17
21,BREWSTER,David M. Alameel,0.44858019953952416,1,23
22,BRISCOE,David M. Alameel,0.12016293279022404,1,13
23,BROOKS,David M. Alameel,0.7435174746335964,1,15
24,BROWN,David M. Alameel,0.10016524723528664,1,11
25,BURLESON,David M. Alameel,0.21563206835888415,1,17
26,BURNET,David M. Alameel,0.1761095792937828,1,25
27,CALDWELL,David M. Alameel,0.3729841154359161,1,27
28,CALHOUN,David M. Alameel,0.2912371134020619,1,27
29,CALLAHAN,David M. Alameel,0.08643287283032235,1,11
30,CAMERON,David M. Alameel,0.5339641018505635,1,34
31,CAMP,David M. Alameel,0.27598566308243727,1,4
32,CARSON,David M. Alameel,0.09106145251396648,1,13
33,CASS,David M. Alameel,0.2323262839879154,1,4
34,CASTRO,David M. Alameel,0.1813236627379873,1,19
35,CHAMBERS,David M. Alameel,0.15251709136109384,1,36
36,CHEROKEE,David M. Alameel,0.18812745525971192,1,5
37,CHILDRESS,David M. Alameel,0.10037523452157598,1,13
38,CLAY,David M. Alameel,0.1184112843355605,1,13
39,COCHRAN,David M. Alameel,0.12179487179487179,1,19
40,COKE,David M. Alameel,0.07280219780219781,1,11
41,COLEMAN,David M. Alameel,0.09372071227741331,1,11
42,COLLIN,David M. Alameel,0.2902680897058042,1,3
43,COLLINGSWORTH,David M. Alameel,0.13466666666666666,1,13
44,COLORADO,David M. Alameel,0.19310344827586207,1,10
45,COMAL,David M. Alameel,0.1790810631429692,1,21
46,COMANCHE,David M. Alameel,0.14767199444058374,1,11
47,CONCHO,David M. Alameel,0.11504424778761062,1,11
48,COOKE,David M. Alameel,0.11715976331360947,1,13
49,CORYELL,David M. Alameel,0.21631809338521402,1,25
50,COTTLE,David M. Alameel,0.1323529411764706,1,13
51,CRANE,David M. Alameel,0.15306122448979592,1,23
52,CROCKETT,David M. Alameel,0.21773142112125163,1,23
53,CROSBY,David M. Alameel,0.198,1,19
54,CULBERSON,David M. Alameel,0.41697416974169743,1,23
55,DALLAM,David M. Alameel,0.09685534591194969,1,13
56,DALLAS,David M. Alameel,0.514263492178335,1,30
57,DAWSON,David M. Alameel,0.151356993736952,1,11
58,DEAF SMITH,David M. Alameel,0.16012436844150796,1,13
59,DELTA,David M. Alameel,0.19405320813771518,1,4
60,DENTON,David M. Alameel,0.2902483663974009,1,26
61,DEWITT,David M. Alameel,0.13651967256403486,1,34
62,DICKENS,David M. Alameel,0.10144927536231885,1,13
63,DIMMIT,David M. Alameel,0.6530612244897959,1,23
64,DONLEY,David M. Alameel,0.10502793296089385,1,13
65,DUVAL,David M. Alameel,0.7906555595798623,1,15
66,EASTLAND,David M. Alameel,0.09037433155080214,1,11
67,ECTOR,David M. Alameel,0.1577349431617595,1,11
68,EDWARDS,David M. Alameel,0.2274741506646972,1,23
69,ELLIS,David M. Alameel,0.21756629556298485,1,6
70,EL PASO,David M. Alameel,0.5755128239415902,1,16
71,ERATH,David M. Alameel,0.13701169090390647,1,11
72,FALLS,David M. Alameel,0.2659758203799655,1,17
73,FANNIN,David M. Alameel,0.18434384703382906,1,4
74,FAYETTE,David M. Alameel,0.1644216081099847,1,10
75,FISHER,David M. Alameel,0.30762639245929735,1,19
76,FLOYD,David M. Alameel,0.10406811731315042,1,19
77,FOARD,David M. Alameel,0.3146853146853147,1,13
78,FORT BEND,David M. Alameel,0.4022517670553271,1,22
79,FRANKLIN,David M. Alameel,0.11876006441223833,1,4
80,FREESTONE,David M. Alameel,0.18048439683278994,1,17
81,FRIO,David M. Alameel,0.500850822461713,1,23
82,GAINES,David M. Alameel,0.09487505294366794,1,19
83,GALVESTON,David M. Alameel,0.3241218333768608,1,14
84,GARZA,David M. Alameel,0.08168316831683169,1,19
85,GILLESPIE,David M. Alameel,0.13775388291517324,1,21
86,GLASSCOCK,David M. Alameel,0.02617801047120419,1,11
87,GOLIAD,David M. Alameel,0.28434382194934765,1,34
88,GONZALES,David M. Alameel,0.1952394446018702,1,27
89,GRAY,David M. Alameel,0.06831599662637054,1,13
90,GRAYSON,David M. Alameel,0.19948826539615316,1,4
91,GREGG,David M. Alameel,0.2374628612586657,1,1
92,GRIMES,David M. Alameel,0.20575601374570446,1,8
93,GUADALUPE,David M. Alameel,0.24927963776070253,1,15
94,HALE,David M. Alameel,0.11807055435565154,1,19
95,HALL,David M. Alameel,0.12589928057553956,1,13
96,HAMILTON,David M. Alameel,0.15552643075578856,1,25
97,HANSFORD,David M. Alameel,0.036020583190394515,1,13
98,HARDEMAN,David M. Alameel,0.1728395061728395,1,13
99,HARDIN,David M. Alameel,0.11947956752794575,1,36
100,HARRIS,David M. Alameel,0.43676799721866105,1,2
101,HARRISON,David M. Alameel,0.26178896172552335,1,1
102,HARTLEY,David M. Alameel,0.06950880444856349,1,13
103,HASKELL,David M. Alameel,0.22918707149853085,1,19
104,HAYS,David M. Alameel,0.40240331491712705,1,35
105,HEMPHILL,David M. Alameel,0.08894536213468869,1,13
106,HENDERSON,David M. Alameel,0.18580811491007304,1,5
107,HIDALGO,David M. Alameel,0.6281005244159913,1,15
108,HILL,David M. Alameel,0.17917251051893407,1,25
109,HOCKLEY,David M. Alameel,0.10381593714927048,1,19
110,HOOD,David M. Alameel,0.15324120027487212,1,11
111,HOPKINS,David M. Alameel,0.19460067491563554,1,4
112,HOUSTON,David M. Alameel,0.1892372692906382,1,8
113,HOWARD,David M. Alameel,0.15795928378709836,1,19
114,HUDSPETH,David M. Alameel,0.39080459770114945,1,23
115,HUNT,David M. Alameel,0.1855743199690602,1,4
116,HUTCHINSON,David M. Alameel,0.08635737253100598,1,13
117,IRION,David M. Alameel,0.08980582524271845,1,11
118,JACK,David M. Alameel,0.10222489476849068,1,13
119,JACKSON,David M. Alameel,0.14382102272727273,1,27
120,JASPER,David M. Alameel,0.19633241158492212,1,36
121,JEFF DAVIS,David M. Alameel,0.36484983314794217,1,23
122,JEFFERSON,David M. Alameel,0.47917642466822796,1,14
123,JIM HOGG,David M. Alameel,0.7626112759643917,1,15
124,JIM WELLS,David M. Alameel,0.5267976349418272,1,34
125,JOHNSON,David M. Alameel,0.17124243834341554,1,25
126,JONES,David M. Alameel,0.15661881977671452,1,19
127,KARNES,David M. Alameel,0.23379339188624007,1,15
128,KAUFMAN,David M. Alameel,0.2362780704895391,1,5
129,KENDALL,David M. Alameel,0.13035036625187538,1,21
130,KENEDY,David M. Alameel,0.46846846846846846,1,34
131,KENT,David M. Alameel,0.14383561643835616,1,19
132,KERR,David M. Alameel,0.1589169265664871,1,21
133,KIMBLE,David M. Alameel,0.07512953367875648,1,11
134,KING,David M. Alameel,0.011363636363636364,1,13
135,KINNEY,David M. Alameel,0.28833172613307617,1,23
136,KLEBERG,David M. Alameel,0.4675398633257403,1,34
137,KNOX,David M. Alameel,0.1670616113744076,1,13
138,LAMAR,David M. Alameel,0.22000773993808048,1,4
139,LAMB,David M. Alameel,0.12025628388368655,1,19
140,LAMPASAS,David M. Alameel,0.15648421530774473,1,25
141,LASALLE,David M. Alameel,0.4798439531859558,1,23
142,LAVACA,David M. Alameel,0.12301013024602026,1,27
143,LEE,David M. Alameel,0.19880269393863806,1,10
144,LEON,David M. Alameel,0.10485436893203884,1,17
145,LIBERTY,David M. Alameel,0.18542989531491333,1,36
146,LIMESTONE,David M. Alameel,0.2170673076923077,1,17
147,LIPSCOMB,David M. Alameel,0.08946078431372549,1,13
148,LIVE OAK,David M. Alameel,0.13358941527955612,1,15
149,LLANO,David M. Alameel,0.15731507664831076,1,11
150,LOVING,David M. Alameel,0.08108108108108109,1,23
151,LUBBOCK,David M. Alameel,0.19954102889735534,1,19
152,LYNN,David M. Alameel,0.14348206474190725,1,19
153,MADISON,David M. Alameel,0.17290322580645162,1,8
154,MARION,David M. Alameel,0.3101983002832861,1,4
