,county,county_num,urban,border
0,ANDERSON,1,0,0
1,ANDREWS,2,0,0
2,ANGELINA,3,0,0
3,ARANSAS,4,1,0
4,ARCHER,5,1,0
5,ARMSTRONG,6,1,0
6,ATASCOSA,7,1,0
7,AUSTIN,8,1,0
8,BAILEY,9,0,0
9,BANDERA,10,1,0
10,BASTROP,11,1,0
11,BAYLOR,12,0,0
12,BEE,13,0,0
13,BELL,14,1,0
14,BEXAR,15,1,0
15,BLANCO,16,0,0
16,BORDEN,17,0,0
17,BOSQUE,18,0,0
18,BOWIE,19,1,0
19,BRAZORIA,20,1,0
20,BRAZOS,21,1,0
21,BREWSTER,22,0,0
22,BRISCOE,23,0,0
23,BROOKS,24,0,0
24,BROWN,25,0,0
25,BURLESON,26,1,0
26,BURNET,27,0,0
27,CALDWELL,28,1,0
28,CALHOUN,29,0,0
29,CALLAHAN,30,1,0
30,CAMERON,31,1,0
31,CAMP,32,0,0
32,CARSON,33,1,0
33,CASS,34,0,0
34,CASTRO,35,0,0
35,CHAMBERS,36,1,0
36,CHEROKEE,37,0,0
37,CHILDRESS,38,0,0
38,CLAY,39,1,0
39,COCHRAN,40,0,0
40,COKE,41,0,0
41,COLEMAN,42,0,0
42,COLLIN,43,1,0
43,COLLINGSWORTH,44,0,0
44,COLORADO,45,0,0
45,COMAL,46,1,0
46,COMANCHE,47,0,0
47,CONCHO,48,0,0
48,COOKE,49,0,0
49,CORYELL,50,1,0
50,COTTLE,51,0,0
51,CRANE,52,0,0
52,CROCKETT,53,0,0
53,CROSBY,54,1,0
54,CULBERSON,55,0,0
55,DALLAM,56,0,0
56,DALLAS,57,1,0
57,DAWSON,58,0,0
58,DEAF SMITH,59,0,0
59,DELTA,60,0,0
60,DENTON,61,1,0
61,DEWITT,62,0,0
62,DICKENS,63,0,0
63,DIMMIT,64,0,0
64,DONLEY,65,0,0
65,DUVAL,66,0,0
66,EASTLAND,67,0,0
67,ECTOR,68,1,0
68,EDWARDS,69,0,0
69,ELLIS,70,1,0
70,EL PASO,71,1,0
71,ERATH,72,0,0
72,FALLS,73,1,0
73,FANNIN,74,0,0
74,FAYETTE,75,0,0
75,FISHER,76,0,0
76,FLOYD,77,0,0
77,FOARD,78,0,0
78,FORT BEND,79,1,0
79,FRANKLIN,80,0,0
80,FREESTONE,81,0,0
81,FRIO,82,0,0
82,GAINES,83,0,0
83,GALVESTON,84,1,0
84,GARZA,85,0,0
85,GILLESPIE,86,0,0
86,GLASSCOCK,87,0,0
87,GOLIAD,88,1,0
88,GONZALES,89,0,0
89,GRAY,90,0,0
90,GRAYSON,91,1,0
91,GREGG,92,1,0
92,GRIMES,93,0,0
93,GUADALUPE,94,1,0
94,HALE,95,0,0
95,HALL,96,0,0
96,HAMILTON,97,0,0
97,HANSFORD,98,0,0
98,HARDEMAN,99,0,0
99,HARDIN,100,1,0
100,HARRIS,101,1,0
101,HARRISON,102,0,0
102,HARTLEY,103,0,0
103,HASKELL,104,0,0
104,HAYS,105,1,0
105,HEMPHILL,106,0,0
106,HENDERSON,107,0,0
107,HIDALGO,108,1,0
108,HILL,109,0,0
109,HOCKLEY,110,0,0
110,HOOD,111,1,0
111,HOPKINS,112,0,0
112,HOUSTON,113,0,0
113,HOWARD,114,0,0
114,HUDSPETH,115,1,0
115,HUNT,116,1,0
116,HUTCHINSON,117,0,0
117,IRION,118,1,0
118,JACK,119,0,0
119,JACKSON,120,0,0
120,JASPER,121,0,0
121,JEFF DAVIS,122,0,0
122,JEFFERSON,123,1,0
123,JIM HOGG,124,0,0
