county,office,district_num_x,dem_candidate,two_party_vtshare,county_num_x,office_x,med_two_party_vtshare,pro_gun_control,pro_choice,pro_climate,candidate_male,candidate_hispanic,candidate_female,county_num_y,urban,border,population,percent_female,percent_hispanic,veterans_per_1000,crimes_per_1000
ANGELINA,house,1,Shirley McKellar,0.324668799,3,house,0.286292097,1,1,1,0,0,1,3,0,0,90652,0.504953007,0.226492521,66.85,36.68
ARANSAS,house,27,Raul (Roy) Barrera,0.243979965,4,house,0.305126464,,,,1,1,0,4,1,0,25234,0.506974717,0.274827614,114.69,45.775
ATASCOSA,house,28,Henry Cuellar,0.470436628,7,house,0.753851395,0,0,1,1,1,0,7,1,0,49086,0.510104714,0.6361488,68.83,24.167
AUSTIN,house,10,Tawana W. Cadien,0.162999323,8,house,0.220101623,1,1,1,0,1,1,8,1,0,30565,0.50783576,0.282479961,63.13,18.054
BANDERA,house,21,Tom Wakely,0.158058494,10,house,0.184760584,1,1,1,1,0,0,10,1,0,21897,0.505548705,0.187651276,128.97,13.725
BASTROP,house,10,Tawana W. Cadien,0.38228515,11,house,0.220101623,1,1,1,0,1,1,11,1,0,85193,0.494712007,0.387191436,77.16,22.734
BASTROP,house,17,William Matta,0.306493506,11,house,0.264256223,1,1,,1,0,0,11,1,0,85193,0.494712007,0.387191436,77.16,22.734
BASTROP,house,27,Raul (Roy) Barrera,0.383187483,11,house,0.305126464,,,,1,1,0,11,1,0,85193,0.494712007,0.387191436,77.16,22.734
BEE,house,34,Filemon B. Vela,0.434324887,13,house,0.557067891,0,1,0,1,1,0,13,0,0,32910,0.401519295,0.576542084,68.14,15.935
BELL,house,25,Kathi Thomas,0.654854239,14,house,0.200173263,1,1,1,0,0,1,14,1,0,341417,0.503838415,0.240307307,184.21,33.712
BELL,house,31,Mike Clark,0.352228051,14,house,0.375613373,1,1,1,1,0,0,14,1,0,341417,0.503838415,0.240307307,184.21,33.712
BEXAR,house,21,Tom Wakely,0.379269415,15,house,0.184760584,1,1,1,1,0,0,15,1,0,1918444,0.505697847,0.611862009,95.43,55.594
BEXAR,house,23,Pete P. Gallego,0.433159673,15,house,0.442352941,0,1,1,1,1,0,15,1,0,1918444,0.505697847,0.611862009,95.43,55.594
BEXAR,house,28,Henry Cuellar,0.541485689,15,house,0.753851395,0,0,1,1,1,0,15,1,0,1918444,0.505697847,0.611862009,95.43,55.594
BEXAR,house,35,Lloyd Doggett,0.678270162,15,house,0.574653149,1,1,1,1,0,0,15,1,0,1918444,0.505697847,0.611862009,95.43,55.594
BLANCO,house,21,Tom Wakely,0.208271237,16,house,0.184760584,1,1,1,1,0,0,16,0,0,11403,0.493203543,0.192756292,95.36,14.609
BOSQUE,house,25,Kathi Thomas,0.172592889,18,house,0.200173263,1,1,1,0,0,1,18,0,0,18525,0.498353576,0.187692308,86.87,11.339
BRAZORIA,house,14,Michael Cole,0.387108685,20,house,0.537592362,0,1,1,1,0,0,20,1,0,351994,0.497380637,0.302507997,60.74,20.909
BRAZORIA,house,22,Mark Gibson,0.394502464,20,house,0.401447906,1,0,0,1,0,0,20,1,0,351994,0.497380637,0.302507997,60.74,20.909
BRAZOS,house,17,William Matta,0.310439252,21,house,0.264256223,1,1,,1,0,0,21,1,0,219920,0.491724263,0.263532194,43.45,30.298
BREWSTER,house,23,Pete P. Gallego,0.539423077,22,house,0.442352941,0,1,1,1,1,0,22,0,0,9257,0.497893486,0.424543589,96.84,14.944
BROOKS,house,15,Vincete Gonzalez,0.83277027,24,house,0.528861549,1,1,,1,1,0,24,0,0,7175,0.499233449,0.912473868,40.43,20.752
BURLESON,house,17,William Matta,0.203873448,26,house,0.264256223,1,1,,1,0,0,26,1,0,18171,0.504540201,0.223047713,80.7,12.821
BURNET,house,25,Kathi Thomas,0.200173263,27,house,0.200173263,1,1,1,0,0,1,27,0,0,46447,0.509936056,0.232953689,93.08,22.469
CALDWELL,house,27,Raul (Roy) Barrera,0.356547713,28,house,0.305126464,,,,1,1,0,28,1,0,40519,0.497889879,0.511932674,65.81,22.343
CALDWELL,house,35,Lloyd Doggett,0.555680329,28,house,0.574653149,1,1,1,1,0,0,28,1,0,40519,0.497889879,0.511932674,65.81,22.343
CALHOUN,house,27,Raul (Roy) Barrera,0.316896194,29,house,0.305126464,,,,1,1,0,29,0,0,21698,0.496958245,0.504009586,67.02,20.278
CAMERON,house,34,Filemon B. Vela,0.687795197,31,house,0.557067891,0,1,0,1,1,0,31,1,0,423998,0.51440337,0.893001854,40.03,37.495
CHAMBERS,house,36,Hal J Ridley Jr. ,0.076530612,36,house,0.085919056,1,1,1,1,0,0,36,1,0,40863,0.499057827,0.232875707,66.02,24.37
COLLIN,house,3,Adam P. Bell,0.564940831,43,house,0.564940831,1,1,1,1,0,0,43,1,0,959054,0.510075554,0.174694021,57.1,18.62
COLORADO,house,10,Tawana W. Cadien,0.220101623,45,house,0.220101623,1,1,1,0,1,1,45,0,0,21934,0.498996991,0.29784809,63.62,16.264
COMAL,house,21,Tom Wakely,0.184827384,46,house,0.184760584,1,1,1,1,0,0,46,1,0,134668,0.50732171,0.257069237,118.3,26.785
COMAL,house,35,Lloyd Doggett,0.339436367,46,house,0.574653149,1,1,1,1,0,0,46,1,0,134668,0.50732171,0.257069237,118.3,26.785
CORYELL,house,25,Kathi Thomas,0.284874337,50,house,0.200173263,1,1,1,0,0,1,50,1,0,75948,0.51279823,0.186430189,165.38,19.337
CRANE,house,23,Pete P. Gallego,0.238385377,52,house,0.442352941,0,1,1,1,1,0,52,0,0,4886,0.501637331,0.59025788,37.03,8.611
CROCKETT,house,23,Pete P. Gallego,0.345549738,53,house,0.442352941,0,1,1,1,1,0,53,0,0,3649,0.504795834,0.645382297,40.06,6.081
CULBERSON,house,23,Pete P. Gallego,0.663394109,55,house,0.442352941,0,1,1,1,1,0,55,0,0,2233,0.509628303,0.76757725,47.96,6.623
DALLAS,house,24,Jan McDowell,0.491272481,57,house,0.438669486,1,1,1,1,0,0,57,1,0,2591002,0.50140023,0.425815573,43.91,40.233
DALLAS,house,26,Eric Mauck,0.406976744,57,house,0.32065032,1,0,1,1,0,0,57,1,0,2591002,0.50140023,0.425815573,43.91,40.233
DALLAS,house,30,Eddie Bernice Johnson,0.804178851,57,house,0.804178851,1,1,1,0,0,1,57,1,0,2591002,0.50140023,0.425815573,43.91,40.233
DALLAS,house,33,Marc Veasy,0.701620864,57,house,0.736891958,1,1,1,1,0,0,57,1,0,2591002,0.50140023,0.425815573,43.91,40.233
DENTON,house,24,Jan McDowell,0.438669486,61,house,0.438669486,1,1,1,1,0,0,61,1,0,805292,0.507586068,0.217611748,61.61,18.29
DENTON,house,26,Eric Mauck,0.32065032,61,house,0.32065032,1,0,1,1,0,0,61,1,0,805292,0.507586068,0.217611748,61.61,18.29
DEWITT,house,34,Filemon B. Vela,0.178253657,62,house,0.557067891,0,1,0,1,1,0,,,,,,,,
DIMMIT,house,23,Pete P. Gallego,0.685964322,64,house,0.442352941,0,1,1,1,1,0,64,0,0,10459,0.510756286,0.85677407,41.32,42.989
DUVAL,house,15,Vincete Gonzalez,0.794094174,66,house,0.528861549,1,1,,1,1,0,66,0,0,11223,0.48240221,0.889601711,50.67,36.485
EDWARDS,house,23,Pete P. Gallego,0.297325103,69,house,0.442352941,0,1,1,1,1,0,69,0,0,1876,0.486140725,0.53891258,76.42,23.87
EL PASO,house,23,Pete P. Gallego,0.842229713,71,house,0.442352941,0,1,1,1,1,0,,,,,,,,
