,County,FIPS,Age,Total,Total Male,Total Female,Anglo Total,Anglo Male,Anglo Female,Black Total,Black Male,Black Female,Other Total,Other Male,Other Female,Hispanic Total,Hispanic Male,Hispanic Female
0,STATE OF TEXAS,0,All Ages,27862596,13864399,13998197,11498484,5695124,5803360,3218511,1557117,1661394,1876164,919399,956765,11269437,5692759,5576678
87,ANDERSON COUNTY,1,All Ages,58305,35437,22868,34175,18927,15248,12206,8830,3376,1639,807,832,10285,6873,3412
174,ANDREWS COUNTY,3,All Ages,17829,8945,8884,7765,3794,3971,234,121,113,353,170,183,9477,4860,4617
261,ANGELINA COUNTY,5,All Ages,90652,44877,45775,54106,26586,27520,13468,6443,7025,2546,1205,1341,20532,10643,9889
348,ARANSAS COUNTY,7,All Ages,25234,12441,12793,17043,8262,8781,265,150,115,991,496,495,6935,3533,3402
435,ARCHER COUNTY,9,All Ages,9123,4521,4602,8099,3999,4100,30,14,16,167,64,103,827,444,383
522,ARMSTRONG COUNTY,11,All Ages,1904,955,949,1732,874,858,11,7,4,42,18,24,119,56,63
609,ATASCOSA COUNTY,13,All Ages,49086,24047,25039,16963,8119,8844,252,141,111,645,313,332,31226,15474,15752
696,AUSTIN COUNTY,15,All Ages,30565,15043,15522,18323,8815,9508,2891,1426,1465,717,348,369,8634,4454,4180
783,BAILEY COUNTY,17,All Ages,7159,3647,3512,2409,1166,1243,61,38,23,103,42,61,4586,2401,2185
870,BANDERA COUNTY,19,All Ages,21897,10827,11070,17246,8477,8769,87,46,41,455,202,253,4109,2102,2007
957,BASTROP COUNTY,21,All Ages,85193,43047,42146,43300,21094,22206,6166,3280,2886,2741,1381,1360,32986,17292,15694
1044,BAYLOR COUNTY,23,All Ages,3761,1828,1933,3136,1540,1596,77,41,36,71,28,43,477,219,258
1131,BEE COUNTY,25,All Ages,32910,19696,13214,10863,6653,4210,2550,2331,219,523,275,248,18974,10437,8537
1218,BELL COUNTY,27,All Ages,341417,169398,172019,161915,81212,80703,67765,33645,34120,29692,13443,16249,82045,41098,40947
1305,BEXAR COUNTY,29,All Ages,1918444,948291,970153,516813,259731,257082,131876,66475,65401,95932,45884,50048,1173823,576201,597622
1392,BLANCO COUNTY,31,All Ages,11403,5779,5624,8908,4442,4466,62,40,22,235,119,116,2198,1178,1020
1479,BORDEN COUNTY,33,All Ages,658,355,303,554,298,256,0,0,0,7,3,4,97,54,43
1566,BOSQUE COUNTY,35,All Ages,18525,9293,9232,14342,7077,7265,293,162,131,413,186,227,3477,1868,1609
1653,BOWIE COUNTY,37,All Ages,96524,49230,47294,60744,30274,30470,24088,12182,11906,4255,2150,2105,7437,4624,2813
1740,BRAZORIA COUNTY,39,All Ages,351994,176919,175075,166463,83153,83310,46078,23526,22552,32972,16141,16831,106481,54099,52382
1827,BRAZOS COUNTY,41,All Ages,219920,111780,108140,119433,60383,59050,24417,11845,12572,18114,9607,8507,57956,29945,28011
1914,BREWSTER COUNTY,43,All Ages,9257,4648,4609,4973,2499,2474,80,59,21,274,129,145,3930,1961,1969
2001,BRISCOE COUNTY,45,All Ages,1404,698,706,947,472,475,36,15,21,24,13,11,397,198,199
2088,BROOKS COUNTY,47,All Ages,7175,3593,3582,569,286,283,20,12,8,39,19,20,6547,3276,3271
2175,BROWN COUNTY,49,All Ages,39080,19479,19601,27892,13725,14167,1395,774,621,1089,563,526,8704,4417,4287
2262,BURLESON COUNTY,51,All Ages,18171,9003,9168,11630,5658,5972,2188,1063,1125,300,159,141,4053,2123,1930
2349,BURNET COUNTY,53,All Ages,46447,22762,23685,33878,16263,17615,746,412,334,1003,457,546,10820,5630,5190
2436,CALDWELL COUNTY,55,All Ages,40519,20345,20174,16343,8059,8284,2504,1315,1189,929,484,445,20743,10487,10256
2523,CALHOUN COUNTY,57,All Ages,21698,10915,10783,8960,4481,4479,493,251,242,1309,718,591,10936,5465,5471
