year,county,office,district,candidate,vote_share,pro_gun_control,candidate_male,candidate_hispanic
2014,ANDERSON,senate,5,David M. Alameel,0.20564845,1,1,0
2014,ANDREWS,senate,11,David M. Alameel,0.083922678,1,1,0
2014,ANGELINA,senate,1,David M. Alameel,0.209692279,1,1,0
2014,ARANSAS,senate,27,David M. Alameel,0.205214021,1,1,0
2014,ARCHER,senate,13,David M. Alameel,0.102689487,1,1,0
2014,ARMSTRONG,senate,13,David M. Alameel,0.081330869,1,1,0
2014,ATASCOSA,senate,28,David M. Alameel,0.303156984,1,1,0
2014,AUSTIN,senate,10,David M. Alameel,0.143910905,1,1,0
2014,BAILEY,senate,19,David M. Alameel,0.118801653,1,1,0
2014,BANDERA,senate,21,David M. Alameel,0.155563071,1,1,0
2014,BASTROP,senate,10,David M. Alameel,0.357531877,1,1,0
2014,BAYLOR,senate,13,David M. Alameel,0.134591195,1,1,0
2014,BEE,senate,34,David M. Alameel,0.379991681,1,1,0
2014,BELL,senate,31,David M. Alameel,0.312759163,1,1,0
2014,BEXAR,senate,20,David M. Alameel,0.435793919,1,1,0
2014,BLANCO,senate,21,David M. Alameel,0.207418398,1,1,0
2014,BORDEN,senate,19,David M. Alameel,0.048387097,1,1,0
2014,BOSQUE,senate,25,David M. Alameel,0.158121499,1,1,0
2014,BOWIE,senate,4,David M. Alameel,0.234332292,1,1,0
2014,BRAZORIA,senate,22,David M. Alameel,0.28756932,1,1,0
2014,BRAZOS,senate,17,David M. Alameel,0.251181953,1,1,0
2014,BREWSTER,senate,23,David M. Alameel,0.4485802,1,1,0
2014,BRISCOE,senate,13,David M. Alameel,0.120162933,1,1,0
2014,BROOKS,senate,15,David M. Alameel,0.743517475,1,1,0
2014,BROWN,senate,11,David M. Alameel,0.100165247,1,1,0
2014,BURLESON,senate,17,David M. Alameel,0.215632068,1,1,0
2014,BURNET,senate,25,David M. Alameel,0.176109579,1,1,0
2014,CALDWELL,senate,27,David M. Alameel,0.372984115,1,1,0
2014,CALHOUN,senate,27,David M. Alameel,0.291237113,1,1,0
2014,CALLAHAN,senate,11,David M. Alameel,0.086432873,1,1,0
2014,CAMERON,senate,34,David M. Alameel,0.533964102,1,1,0
2014,CAMP,senate,4,David M. Alameel,0.275985663,1,1,0
2014,CARSON,senate,13,David M. Alameel,0.091061453,1,1,0
2014,CASS,senate,4,David M. Alameel,0.232326284,1,1,0
2014,CASTRO,senate,19,David M. Alameel,0.181323663,1,1,0
2014,CHAMBERS,senate,36,David M. Alameel,0.152517091,1,1,0
2014,CHEROKEE,senate,5,David M. Alameel,0.188127455,1,1,0
2014,CHILDRESS,senate,13,David M. Alameel,0.100375235,1,1,0
2014,CLAY,senate,13,David M. Alameel,0.118411284,1,1,0
2014,COCHRAN,senate,19,David M. Alameel,0.121794872,1,1,0
2014,COKE,senate,11,David M. Alameel,0.072802198,1,1,0
2014,COLEMAN,senate,11,David M. Alameel,0.093720712,1,1,0
2014,COLLIN,senate,3,David M. Alameel,0.29026809,1,1,0
2014,COLLINGSWORTH,senate,13,David M. Alameel,0.134666667,1,1,0
2014,COLORADO,senate,10,David M. Alameel,0.193103448,1,1,0
2014,COMAL,senate,21,David M. Alameel,0.179081063,1,1,0
2014,COMANCHE,senate,11,David M. Alameel,0.147671994,1,1,0
2014,CONCHO,senate,11,David M. Alameel,0.115044248,1,1,0
2014,COOKE,senate,13,David M. Alameel,0.117159763,1,1,0
2014,CORYELL,senate,25,David M. Alameel,0.216318093,1,1,0
2014,COTTLE,senate,13,David M. Alameel,0.132352941,1,1,0
2014,CRANE,senate,23,David M. Alameel,0.153061224,1,1,0
2014,CROCKETT,senate,23,David M. Alameel,0.217731421,1,1,0
2014,CROSBY,senate,19,David M. Alameel,0.198,1,1,0
2014,CULBERSON,senate,23,David M. Alameel,0.41697417,1,1,0
2014,DALLAM,senate,13,David M. Alameel,0.096855346,1,1,0
2014,DALLAS,senate,30,David M. Alameel,0.514263492,1,1,0
2014,DAWSON,senate,11,David M. Alameel,0.151356994,1,1,0
2014,DEAF SMITH,senate,13,David M. Alameel,0.160124368,1,1,0
2014,DELTA,senate,4,David M. Alameel,0.194053208,1,1,0
2014,DENTON,senate,26,David M. Alameel,0.290248366,1,1,0
2014,DEWITT,senate,34,David M. Alameel,0.136519673,1,1,0
2014,DICKENS,senate,13,David M. Alameel,0.101449275,1,1,0
2014,DIMMIT,senate,23,David M. Alameel,0.653061224,1,1,0
2014,DONLEY,senate,13,David M. Alameel,0.105027933,1,1,0
2014,DUVAL,senate,15,David M. Alameel,0.79065556,1,1,0
2014,EASTLAND,senate,11,David M. Alameel,0.090374332,1,1,0
2014,ECTOR,senate,11,David M. Alameel,0.157734943,1,1,0
2014,EDWARDS,senate,23,David M. Alameel,0.227474151,1,1,0
2014,ELLIS,senate,6,David M. Alameel,0.217566296,1,1,0
