year,county,office,district,candidate,vote_share,pro_gun_control,candidate_male,candidate_hispanic,,
2014,ANGELINA,house,1,Shirley J McKellar,0.216688694,1,0,0,,
2014,GREGG,house,1,Shirley J McKellar,0.250467778,1,0,0,,
2014,HARRISON,house,1,Shirley J McKellar,0.274186908,1,0,0,,
2014,NACOGDOCHES,house,1,Shirley J McKellar,0.242334154,1,0,0,,
2014,PANOLA,house,1,Shirley J McKellar,0.186310459,1,0,0,,
2014,RUSK,house,1,Shirley J McKellar,0.18149704,1,0,0,,
2014,SABINE,house,1,Shirley J McKellar,0.141654466,1,0,0,,
2014,SAN AUGUSTINE,house,1,Shirley J McKellar,0.295299469,1,0,0,,
2014,SHELBY,house,1,Shirley J McKellar,0.199742978,1,0,0,,
2014,SMITH,house,1,Shirley J McKellar,0.227502632,1,0,0,,
2014,UPSHUR,house,1,Shirley J McKellar,0.17973985,1,0,0,,
2014,WOOD,house,1,Shirley J McKellar,0.12325784,1,0,0,,
2014,HARRIS,house,2,Niko Lestos,0.303706335,,1,0,,
2014,ELLIS,house,6,David E. Cozad,0.224746004,,1,0,,
2014,NAVARRO,house,6,David E. Cozad,0.215165262,,1,0,,
2014,TARRANT,house,6,David E. Cozad,0.429946734,,1,0,,
2014,HARRIS,house,7,James Cargas,0.353202364,1,1,0,,
2014,HARRIS,house,7,James Cargas,0.353202364,1,1,0,,
2014,AUSTIN,house,10,Tawana Walter-Cadien,0.136643297,1,0,0,,
2014,BASTROP,house,10,Tawana Walter-Cadien,0.374946004,1,0,0,,
2014,COLORADO,house,10,Tawana Walter-Cadien,0.197997548,1,0,0,,
2014,FAYETTE,house,10,Tawana Walter-Cadien,0.163796724,1,0,0,,
2014,HARRIS,house,10,Tawana Walter-Cadien,0.212395846,1,0,0,,
2014,LEE,house,10,Tawana Walter-Cadien,0.186516854,1,0,0,,
2014,TRAVIS,house,10,Tawana Walter-Cadien,0.579458275,1,0,0,,
2014,WALLER,house,10,Tawana Walter-Cadien,0.270303573,1,0,0,,
2014,WASHINGTON,house,10,Tawana Walter-Cadien,0.17711078,1,0,0,,
2014,PARKER,house,12,Mark Greene,0.133329018,1,1,0,,
2014,TARRANT,house,12,Mark Greene,0.309400667,1,1,0,,
2014,WISE,house,12,Mark Greene,0.139252122,1,1,0,,
2014,ARCHER,house,13,Mike Minter,0.096333853,,1,0,,
2014,ARMSTRONG,house,13,Mike Minter,0.078899083,,1,0,,
2014,BAYLOR,house,13,Mike Minter,0.138480392,,1,0,,
2014,BRISCOE,house,13,Mike Minter,0.115768463,,1,0,,
2014,CARSON,house,13,Mike Minter,0.091161757,,1,0,,
2014,CHILDRESS,house,13,Mike Minter,0.105164319,,1,0,,
2014,CLAY,house,13,Mike Minter,0.11420205,,1,0,,
2014,COLLINGSWORTH,house,13,Mike Minter,0.108614232,,1,0,,
2014,COOKE,house,13,Mike Minter,0.117225162,,1,0,,
2014,COTTLE,house,13,Mike Minter,0.12173913,,1,0,,
2014,DALLAM,house,13,Mike Minter,0.103067485,,1,0,,
2014,DEAF SMITH,house,13,Mike Minter,0.152362949,,1,0,,
2014,DICKENS,house,13,Mike Minter,0.103792415,,1,0,,
2014,DONLEY,house,13,Mike Minter,0.101433297,,1,0,,
2014,FLOYD,house,13,Mike Minter,0.081858407,,1,0,,
2014,FOARD,house,13,Mike Minter,0.28852459,,1,0,,
2014,GRAY,house,13,Mike Minter,0.065368567,,1,0,,
2014,HALL,house,13,Mike Minter,0.127622378,,1,0,,
2014,HANSFORD,house,13,Mike Minter,0.031896552,,1,0,,
2014,HARDEMAN,house,13,Mike Minter,0.165898618,,1,0,,
2014,HARTLEY,house,13,Mike Minter,0.080956762,,1,0,,
2014,HEMPHILL,house,13,Mike Minter,0.079345088,,1,0,,
2014,HUTCHINSON,house,13,Mike Minter,0.084099265,,1,0,,
