,candidate,candidate_male,county,district,office,pro_gun_control,vote_share,year,candidate_hispanic,prog_min_wage,incumbent
267,Adam P. Bell,1,COLLIN,3,house,1,0.564940831,2016,0,0,0
274,Al Green,1,FORT BEND,9,house,1,0.793993994,2016,0,1,1
275,Al Green,1,HARRIS,9,house,1,0.811555795,2016,0,1,1
537,Beto O'Rourke,1,EL PASO,16,house,1,0.698225355,2014,0,1,1
285,Bill Bradshaw,1,PARKER,12,house,,0.145572282,2016,0,1,0
286,Bill Bradshaw,1,TARRANT,12,house,,0.480175026,2016,0,1,0
287,Bill Bradshaw,1,WISE,12,house,,0.167534496,2016,0,1,0
470,David E. Cozad,1,ELLIS,6,house,,0.224746004,2014,0,1,0
471,David E. Cozad,1,NAVARRO,6,house,,0.215165262,2014,0,1,0
472,David E. Cozad,1,TARRANT,6,house,,0.429946734,2014,0,1,0
0,David M. Alameel,1,ANDERSON,5,senate,1,0.20564845,2014,0,0,0
1,David M. Alameel,1,ANDREWS,11,senate,1,0.083922678,2014,0,0,0
2,David M. Alameel,1,ANGELINA,1,senate,1,0.209692279,2014,0,0,0
3,David M. Alameel,1,ARANSAS,27,senate,1,0.205214021,2014,0,0,0
4,David M. Alameel,1,ARCHER,13,senate,1,0.102689487,2014,0,0,0
5,David M. Alameel,1,ARMSTRONG,13,senate,1,0.081330869,2014,0,0,0
6,David M. Alameel,1,ATASCOSA,28,senate,1,0.303156984,2014,0,0,0
7,David M. Alameel,1,AUSTIN,10,senate,1,0.143910905,2014,0,0,0
8,David M. Alameel,1,BAILEY,19,senate,1,0.118801653,2014,0,0,0
9,David M. Alameel,1,BANDERA,21,senate,1,0.155563071,2014,0,0,0
10,David M. Alameel,1,BASTROP,10,senate,1,0.357531877,2014,0,0,0
11,David M. Alameel,1,BAYLOR,13,senate,1,0.134591195,2014,0,0,0
12,David M. Alameel,1,BEE,34,senate,1,0.379991681,2014,0,0,0
13,David M. Alameel,1,BELL,31,senate,1,0.312759163,2014,0,0,0
14,David M. Alameel,1,BEXAR,20,senate,1,0.435793919,2014,0,0,0
15,David M. Alameel,1,BLANCO,21,senate,1,0.207418398,2014,0,0,0
16,David M. Alameel,1,BORDEN,19,senate,1,0.048387097,2014,0,0,0
17,David M. Alameel,1,BOSQUE,25,senate,1,0.158121499,2014,0,0,0
18,David M. Alameel,1,BOWIE,4,senate,1,0.234332292,2014,0,0,0
19,David M. Alameel,1,BRAZORIA,22,senate,1,0.28756932,2014,0,0,0
20,David M. Alameel,1,BRAZOS,17,senate,1,0.251181953,2014,0,0,0
21,David M. Alameel,1,BREWSTER,23,senate,1,0.4485802,2014,0,0,0
22,David M. Alameel,1,BRISCOE,13,senate,1,0.120162933,2014,0,0,0
23,David M. Alameel,1,BROOKS,15,senate,1,0.743517475,2014,0,0,0
24,David M. Alameel,1,BROWN,11,senate,1,0.100165247,2014,0,0,0
25,David M. Alameel,1,BURLESON,17,senate,1,0.215632068,2014,0,0,0
26,David M. Alameel,1,BURNET,25,senate,1,0.176109579,2014,0,0,0
27,David M. Alameel,1,CALDWELL,27,senate,1,0.372984115,2014,0,0,0
28,David M. Alameel,1,CALHOUN,27,senate,1,0.291237113,2014,0,0,0
29,David M. Alameel,1,CALLAHAN,11,senate,1,0.086432873,2014,0,0,0
30,David M. Alameel,1,CAMERON,34,senate,1,0.533964102,2014,0,0,0
31,David M. Alameel,1,CAMP,4,senate,1,0.275985663,2014,0,0,0
32,David M. Alameel,1,CARSON,13,senate,1,0.091061453,2014,0,0,0
33,David M. Alameel,1,CASS,4,senate,1,0.232326284,2014,0,0,0
34,David M. Alameel,1,CASTRO,19,senate,1,0.181323663,2014,0,0,0
35,David M. Alameel,1,CHAMBERS,36,senate,1,0.152517091,2014,0,0,0
36,David M. Alameel,1,CHEROKEE,5,senate,1,0.188127455,2014,0,0,0
37,David M. Alameel,1,CHILDRESS,13,senate,1,0.100375235,2014,0,0,0
38,David M. Alameel,1,CLAY,13,senate,1,0.118411284,2014,0,0,0
39,David M. Alameel,1,COCHRAN,19,senate,1,0.121794872,2014,0,0,0
40,David M. Alameel,1,COKE,11,senate,1,0.072802198,2014,0,0,0
41,David M. Alameel,1,COLEMAN,11,senate,1,0.093720712,2014,0,0,0
42,David M. Alameel,1,COLLIN,3,senate,1,0.29026809,2014,0,0,0
43,David M. Alameel,1,COLLINGSWORTH,13,senate,1,0.134666667,2014,0,0,0
44,David M. Alameel,1,COLORADO,10,senate,1,0.193103448,2014,0,0,0
45,David M. Alameel,1,COMAL,21,senate,1,0.179081063,2014,0,0,0
46,David M. Alameel,1,COMANCHE,11,senate,1,0.147671994,2014,0,0,0
47,David M. Alameel,1,CONCHO,11,senate,1,0.115044248,2014,0,0,0
48,David M. Alameel,1,COOKE,13,senate,1,0.117159763,2014,0,0,0
49,David M. Alameel,1,CORYELL,25,senate,1,0.216318093,2014,0,0,0
50,David M. Alameel,1,COTTLE,13,senate,1,0.132352941,2014,0,0,0
51,David M. Alameel,1,CRANE,23,senate,1,0.153061224,2014,0,0,0
52,David M. Alameel,1,CROCKETT,23,senate,1,0.217731421,2014,0,0,0
53,David M. Alameel,1,CROSBY,19,senate,1,0.198,2014,0,0,0
54,David M. Alameel,1,CULBERSON,23,senate,1,0.41697417,2014,0,0,0
55,David M. Alameel,1,DALLAM,13,senate,1,0.096855346,2014,0,0,0
56,David M. Alameel,1,DALLAS,30,senate,1,0.514263492,2014,0,0,0
57,David M. Alameel,1,DAWSON,11,senate,1,0.151356994,2014,0,0,0
58,David M. Alameel,1,DEAF SMITH,13,senate,1,0.160124368,2014,0,0,0
59,David M. Alameel,1,DELTA,4,senate,1,0.194053208,2014,0,0,0
60,David M. Alameel,1,DENTON,26,senate,1,0.290248366,2014,0,0,0
61,David M. Alameel,1,DEWITT,34,senate,1,0.136519673,2014,0,0,0
62,David M. Alameel,1,DICKENS,13,senate,1,0.101449275,2014,0,0,0
63,David M. Alameel,1,DIMMIT,23,senate,1,0.653061224,2014,0,0,0
64,David M. Alameel,1,DONLEY,13,senate,1,0.105027933,2014,0,0,0
65,David M. Alameel,1,DUVAL,15,senate,1,0.79065556,2014,0,0,0
66,David M. Alameel,1,EASTLAND,11,senate,1,0.090374332,2014,0,0,0
67,David M. Alameel,1,ECTOR,11,senate,1,0.157734943,2014,0,0,0
68,David M. Alameel,1,EDWARDS,23,senate,1,0.227474151,2014,0,0,0
69,David M. Alameel,1,ELLIS,6,senate,1,0.217566296,2014,0,0,0
70,David M. Alameel,1,EL PASO,16,senate,1,0.575512824,2014,0,0,0
71,David M. Alameel,1,ERATH,11,senate,1,0.137011691,2014,0,0,0
72,David M. Alameel,1,FALLS,17,senate,1,0.26597582,2014,0,0,0
73,David M. Alameel,1,FANNIN,4,senate,1,0.184343847,2014,0,0,0
74,David M. Alameel,1,FAYETTE,10,senate,1,0.164421608,2014,0,0,0
75,David M. Alameel,1,FISHER,19,senate,1,0.307626392,2014,0,0,0
76,David M. Alameel,1,FLOYD,19,senate,1,0.104068117,2014,0,0,0
77,David M. Alameel,1,FOARD,13,senate,1,0.314685315,2014,0,0,0
78,David M. Alameel,1,FORT BEND,22,senate,1,0.402251767,2014,0,0,0
79,David M. Alameel,1,FRANKLIN,4,senate,1,0.118760064,2014,0,0,0
80,David M. Alameel,1,FREESTONE,17,senate,1,0.180484397,2014,0,0,0
81,David M. Alameel,1,FRIO,23,senate,1,0.500850822,2014,0,0,0
82,David M. Alameel,1,GAINES,19,senate,1,0.094875053,2014,0,0,0
83,David M. Alameel,1,GALVESTON,14,senate,1,0.324121833,2014,0,0,0
84,David M. Alameel,1,GARZA,19,senate,1,0.081683168,2014,0,0,0
85,David M. Alameel,1,GILLESPIE,21,senate,1,0.137753883,2014,0,0,0
86,David M. Alameel,1,GLASSCOCK,11,senate,1,0.02617801,2014,0,0,0
87,David M. Alameel,1,GOLIAD,34,senate,1,0.284343822,2014,0,0,0
88,David M. Alameel,1,GONZALES,27,senate,1,0.195239445,2014,0,0,0
89,David M. Alameel,1,GRAY,13,senate,1,0.068315997,2014,0,0,0
90,David M. Alameel,1,GRAYSON,4,senate,1,0.199488265,2014,0,0,0
91,David M. Alameel,1,GREGG,1,senate,1,0.237462861,2014,0,0,0
92,David M. Alameel,1,GRIMES,8,senate,1,0.205756014,2014,0,0,0
93,David M. Alameel,1,GUADALUPE,15,senate,1,0.249279638,2014,0,0,0
94,David M. Alameel,1,HALE,19,senate,1,0.118070554,2014,0,0,0
95,David M. Alameel,1,HALL,13,senate,1,0.125899281,2014,0,0,0
96,David M. Alameel,1,HAMILTON,25,senate,1,0.155526431,2014,0,0,0
97,David M. Alameel,1,HANSFORD,13,senate,1,0.036020583,2014,0,0,0
98,David M. Alameel,1,HARDEMAN,13,senate,1,0.172839506,2014,0,0,0
99,David M. Alameel,1,HARDIN,36,senate,1,0.119479568,2014,0,0,0
100,David M. Alameel,1,HARRIS,2,senate,1,0.436767997,2014,0,0,0
101,David M. Alameel,1,HARRISON,1,senate,1,0.261788962,2014,0,0,0
