,year,county,office,district,candidate,vote_share,pro_gun_control,candidate_male,candidate_hispanic
0,2014,ANDERSON,senate,5,David M. Alameel,0.20564845,1,1,0
1,2014,ANDREWS,senate,11,David M. Alameel,0.083922678,1,1,0
2,2014,ANGELINA,senate,1,David M. Alameel,0.209692279,1,1,0
3,2014,ARANSAS,senate,27,David M. Alameel,0.205214021,1,1,0
4,2014,ARCHER,senate,13,David M. Alameel,0.102689487,1,1,0
5,2014,ARMSTRONG,senate,13,David M. Alameel,0.081330869,1,1,0
6,2014,ATASCOSA,senate,28,David M. Alameel,0.303156984,1,1,0
7,2014,AUSTIN,senate,10,David M. Alameel,0.143910905,1,1,0
8,2014,BAILEY,senate,19,David M. Alameel,0.118801653,1,1,0
9,2014,BANDERA,senate,21,David M. Alameel,0.155563071,1,1,0
10,2014,BASTROP,senate,10,David M. Alameel,0.357531877,1,1,0
11,2014,BAYLOR,senate,13,David M. Alameel,0.134591195,1,1,0
12,2014,BEE,senate,34,David M. Alameel,0.379991681,1,1,0
13,2014,BELL,senate,31,David M. Alameel,0.312759163,1,1,0
14,2014,BEXAR,senate,20,David M. Alameel,0.435793919,1,1,0
15,2014,BLANCO,senate,21,David M. Alameel,0.207418398,1,1,0
16,2014,BORDEN,senate,19,David M. Alameel,0.048387097,1,1,0
17,2014,BOSQUE,senate,25,David M. Alameel,0.158121499,1,1,0
18,2014,BOWIE,senate,4,David M. Alameel,0.234332292,1,1,0
19,2014,BRAZORIA,senate,22,David M. Alameel,0.28756932,1,1,0
20,2014,BRAZOS,senate,17,David M. Alameel,0.251181953,1,1,0
21,2014,BREWSTER,senate,23,David M. Alameel,0.4485802,1,1,0
22,2014,BRISCOE,senate,13,David M. Alameel,0.120162933,1,1,0
23,2014,BROOKS,senate,15,David M. Alameel,0.743517475,1,1,0
24,2014,BROWN,senate,11,David M. Alameel,0.100165247,1,1,0
25,2014,BURLESON,senate,17,David M. Alameel,0.215632068,1,1,0
26,2014,BURNET,senate,25,David M. Alameel,0.176109579,1,1,0
27,2014,CALDWELL,senate,27,David M. Alameel,0.372984115,1,1,0
28,2014,CALHOUN,senate,27,David M. Alameel,0.291237113,1,1,0
29,2014,CALLAHAN,senate,11,David M. Alameel,0.086432873,1,1,0
30,2014,CAMERON,senate,34,David M. Alameel,0.533964102,1,1,0
31,2014,CAMP,senate,4,David M. Alameel,0.275985663,1,1,0
32,2014,CARSON,senate,13,David M. Alameel,0.091061453,1,1,0
33,2014,CASS,senate,4,David M. Alameel,0.232326284,1,1,0
34,2014,CASTRO,senate,19,David M. Alameel,0.181323663,1,1,0
35,2014,CHAMBERS,senate,36,David M. Alameel,0.152517091,1,1,0
36,2014,CHEROKEE,senate,5,David M. Alameel,0.188127455,1,1,0
37,2014,CHILDRESS,senate,13,David M. Alameel,0.100375235,1,1,0
38,2014,CLAY,senate,13,David M. Alameel,0.118411284,1,1,0
39,2014,COCHRAN,senate,19,David M. Alameel,0.121794872,1,1,0
40,2014,COKE,senate,11,David M. Alameel,0.072802198,1,1,0
41,2014,COLEMAN,senate,11,David M. Alameel,0.093720712,1,1,0
42,2014,COLLIN,senate,3,David M. Alameel,0.29026809,1,1,0
43,2014,COLLINGSWORTH,senate,13,David M. Alameel,0.134666667,1,1,0
44,2014,COLORADO,senate,10,David M. Alameel,0.193103448,1,1,0
45,2014,COMAL,senate,21,David M. Alameel,0.179081063,1,1,0
46,2014,COMANCHE,senate,11,David M. Alameel,0.147671994,1,1,0
47,2014,CONCHO,senate,11,David M. Alameel,0.115044248,1,1,0
48,2014,COOKE,senate,13,David M. Alameel,0.117159763,1,1,0
49,2014,CORYELL,senate,25,David M. Alameel,0.216318093,1,1,0
50,2014,COTTLE,senate,13,David M. Alameel,0.132352941,1,1,0
51,2014,CRANE,senate,23,David M. Alameel,0.153061224,1,1,0
52,2014,CROCKETT,senate,23,David M. Alameel,0.217731421,1,1,0
53,2014,CROSBY,senate,19,David M. Alameel,0.198,1,1,0
54,2014,CULBERSON,senate,23,David M. Alameel,0.41697417,1,1,0
55,2014,DALLAM,senate,13,David M. Alameel,0.096855346,1,1,0
56,2014,DALLAS,senate,30,David M. Alameel,0.514263492,1,1,0
57,2014,DAWSON,senate,11,David M. Alameel,0.151356994,1,1,0
58,2014,DEAF SMITH,senate,13,David M. Alameel,0.160124368,1,1,0
59,2014,DELTA,senate,4,David M. Alameel,0.194053208,1,1,0
60,2014,DENTON,senate,26,David M. Alameel,0.290248366,1,1,0
61,2014,DEWITT,senate,34,David M. Alameel,0.136519673,1,1,0
62,2014,DICKENS,senate,13,David M. Alameel,0.101449275,1,1,0
63,2014,DIMMIT,senate,23,David M. Alameel,0.653061224,1,1,0
64,2014,DONLEY,senate,13,David M. Alameel,0.105027933,1,1,0
65,2014,DUVAL,senate,15,David M. Alameel,0.79065556,1,1,0
66,2014,EASTLAND,senate,11,David M. Alameel,0.090374332,1,1,0
67,2014,ECTOR,senate,11,David M. Alameel,0.157734943,1,1,0
68,2014,EDWARDS,senate,23,David M. Alameel,0.227474151,1,1,0
69,2014,ELLIS,senate,6,David M. Alameel,0.217566296,1,1,0
70,2014,EL PASO,senate,16,David M. Alameel,0.575512824,1,1,0
71,2014,ERATH,senate,11,David M. Alameel,0.137011691,1,1,0
72,2014,FALLS,senate,17,David M. Alameel,0.26597582,1,1,0
73,2014,FANNIN,senate,4,David M. Alameel,0.184343847,1,1,0
74,2014,FAYETTE,senate,10,David M. Alameel,0.164421608,1,1,0
75,2014,FISHER,senate,19,David M. Alameel,0.307626392,1,1,0
76,2014,FLOYD,senate,19,David M. Alameel,0.104068117,1,1,0
77,2014,FOARD,senate,13,David M. Alameel,0.314685315,1,1,0
78,2014,FORT BEND,senate,22,David M. Alameel,0.402251767,1,1,0
79,2014,FRANKLIN,senate,4,David M. Alameel,0.118760064,1,1,0
80,2014,FREESTONE,senate,17,David M. Alameel,0.180484397,1,1,0
81,2014,FRIO,senate,23,David M. Alameel,0.500850822,1,1,0
82,2014,GAINES,senate,19,David M. Alameel,0.094875053,1,1,0
83,2014,GALVESTON,senate,14,David M. Alameel,0.324121833,1,1,0
84,2014,GARZA,senate,19,David M. Alameel,0.081683168,1,1,0
85,2014,GILLESPIE,senate,21,David M. Alameel,0.137753883,1,1,0
86,2014,GLASSCOCK,senate,11,David M. Alameel,0.02617801,1,1,0
87,2014,GOLIAD,senate,34,David M. Alameel,0.284343822,1,1,0
88,2014,GONZALES,senate,27,David M. Alameel,0.195239445,1,1,0
89,2014,GRAY,senate,13,David M. Alameel,0.068315997,1,1,0
90,2014,GRAYSON,senate,4,David M. Alameel,0.199488265,1,1,0
91,2014,GREGG,senate,1,David M. Alameel,0.237462861,1,1,0
92,2014,GRIMES,senate,8,David M. Alameel,0.205756014,1,1,0
93,2014,GUADALUPE,senate,15,David M. Alameel,0.249279638,1,1,0
